categories,documentation-url,end-date,entry-date,geography,geometry,legislation,name,notes,organisation,point,reference,start-date,slug
,https://eastsuffolk.inconsult.uk/consult.ti/suffolkcoastallocalplan2020/viewCompoundDoc?docid=11955764&partid=11968468#11968468,,2021-06-23,housing-allocation:SCLP12.24,"MULTIPOLYGON (((1.187117 52.077690,1.187174 52.077919,1.187421 52.078130,1.188494 52.078885,1.190059 52.079309,1.190690 52.078545,1.190959 52.078351,1.191640 52.078128,1.190674 52.077321,1.191741 52.076818,1.192033 52.077113,1.192666 52.076646,1.192994 52.076118,1.192145 52.075123,1.190210 52.075831,1.189139 52.076183,1.188231 52.076580,1.187167 52.077123,1.186878 52.077311,1.187117 52.077690)))",,"Land at Humber Doucy Lane, Rushmere St Andrew",,local-authority-eng:ESK,,,,/housing-allocation/housing-allocation/SCLP12-24
,https://eastsuffolk.inconsult.uk/consult.ti/suffolkcoastallocalplan2020/viewCompoundDoc?docid=11955764&partid=11968500#11968500,,2021-06-23,housing-allocation:SCLP12.25,"MULTIPOLYGON (((1.265459 52.067009,1.269714 52.067958,1.271398 52.067648,1.271347 52.067516,1.271415 52.067414,1.271219 52.067369,1.271463 52.066949,1.271705 52.067003,1.271913 52.066660,1.272014 52.066679,1.272293 52.066264,1.269247 52.065143,1.265499 52.065276,1.265459 52.067009)))",,"Suffolk Police HQ, Portal Avenue, Martlesham",,local-authority-eng:ESK,,,,/housing-allocation/housing-allocation/SCLP12-25
,https://eastsuffolk.inconsult.uk/consult.ti/suffolkcoastallocalplan2020/viewCompoundDoc?docid=11955764&partid=11968596#11968596,,2021-06-23,housing-allocation:SCLP12.27,"MULTIPOLYGON (((1.576608 52.161169,1.576552 52.161199,1.576862 52.161557,1.577680 52.162298,1.578954 52.161533,1.579488 52.161875,1.580144 52.161477,1.579959 52.161365,1.580548 52.161009,1.580099 52.160329,1.576608 52.161169)))",,"Land rear of Rose Hill, Saxmundham Road, Aldeburgh",,local-authority-eng:ESK,,,,/housing-allocation/housing-allocation/SCLP12-27
,https://eastsuffolk.inconsult.uk/consult.ti/suffolkcoastallocalplan2020/viewCompoundDoc?docid=11955764&partid=11968660#11968660,,2021-06-23,housing-allocation:SCLP12.30,"MULTIPOLYGON (((1.497608 52.216644,1.496696 52.216470,1.495590 52.218514,1.496692 52.219300,1.496768 52.219395,1.497608 52.216644)))",,"Land North-East of Street Farm, Saxmundham",,local-authority-eng:ESK,,,,/housing-allocation/housing-allocation/SCLP12-30
,https://eastsuffolk.inconsult.uk/consult.ti/suffolkcoastallocalplan2020/viewCompoundDoc?docid=11955764&partid=11968692#11968692,,2021-06-23,housing-allocation:SCLP12.32,"MULTIPOLYGON (((1.324638 52.095444,1.323663 52.095628,1.321966 52.095907,1.322262 52.096334,1.322558 52.096662,1.322990 52.096538,1.323740 52.096545,1.323783 52.096507,1.323740 52.096078,1.323848 52.096044,1.323832 52.095991,1.324868 52.095752,1.324638 52.095444)))",,"Former Council Offices, Melton Hill",,local-authority-eng:ESK,,,,/housing-allocation/housing-allocation/SCLP12-32
,https://eastsuffolk.inconsult.uk/consult.ti/suffolkcoastallocalplan2020/viewCompoundDoc?docid=11955764&partid=11968724#11968724,,2021-06-23,housing-allocation:SCLP12.33,"MULTIPOLYGON (((1.290945 52.086367,1.291853 52.086023,1.292187 52.085860,1.292347 52.085715,1.292639 52.085206,1.292933 52.085048,1.293322 52.084955,1.292799 52.084660,1.292106 52.084425,1.291127 52.084200,1.290592 52.084122,1.289410 52.084031,1.289055 52.084070,1.288914 52.084146,1.288836 52.084252,1.289796 52.085149,1.290945 52.086367)))",,Land at Woodbridge Town Football Club,,local-authority-eng:ESK,,,,/housing-allocation/housing-allocation/SCLP12-33
,https://eastsuffolk.inconsult.uk/consult.ti/suffolkcoastallocalplan2020/viewCompoundDoc?docid=11955764&partid=11967892#11967892,,2021-06-23,housing-allocation:SCLP12.4,"MULTIPOLYGON (((1.364809 51.977998,1.365263 51.978018,1.366095 51.978167,1.366971 51.978261,1.367636 51.978391,1.367847 51.978364,1.367974 51.978247,1.368218 51.977628,1.368337 51.977206,1.368407 51.976797,1.365580 51.976419,1.365487 51.976664,1.364959 51.977623,1.364809 51.977998)))",,"Land North of Conway Close and Swallow Close, Felixstowe",,local-authority-eng:ESK,,,,/housing-allocation/housing-allocation/SCLP12-4
,https://eastsuffolk.inconsult.uk/consult.ti/suffolkcoastallocalplan2020/viewCompoundDoc?docid=11955764&partid=11969012#11969012,,2021-06-23,housing-allocation:SCLP12.42,"MULTIPOLYGON (((1.576810 52.194991,1.577184 52.195153,1.577328 52.195178,1.577475 52.195080,1.577547 52.195083,1.577593 52.195111,1.577638 52.195232,1.579009 52.195414,1.579647 52.195404,1.579642 52.195349,1.579747 52.195216,1.579700 52.194947,1.579742 52.194861,1.577247 52.194212,1.576810 52.194991)))",,"Land to the East of Aldeburgh Road, Aldringham",,local-authority-eng:ESK,,,,/housing-allocation/housing-allocation/SCLP12-42
,https://eastsuffolk.inconsult.uk/consult.ti/suffolkcoastallocalplan2020/viewCompoundDoc?docid=11955764&partid=11969044#11969044,,2021-06-23,housing-allocation:SCLP12.43,"MULTIPOLYGON (((1.481376 52.198740,1.482533 52.199669,1.483954 52.199231,1.482741 52.198301,1.482519 52.197959,1.481555 52.198236,1.481376 52.198740)))",,"Land South of Forge Close between Main Road and Ayden, Benhall",,local-authority-eng:ESK,,,,/housing-allocation/housing-allocation/SCLP12-43
,https://eastsuffolk.inconsult.uk/consult.ti/suffolkcoastallocalplan2020/viewCompoundDoc?docid=11955764&partid=11969076#11969076,,2021-06-23,housing-allocation:SCLP12.44,"MULTIPOLYGON (((1.269812 52.027436,1.267144 52.026260,1.266570 52.026407,1.266915 52.026748,1.267973 52.027317,1.268481 52.027673,1.268599 52.027808,1.269812 52.027436)))",,"Land to the South East of Levington Lane, Bucklesham",,local-authority-eng:ESK,,,,/housing-allocation/housing-allocation/SCLP12-44
